path	codec	height	container_fps	decode_fps_1	decode_fps_2	interlaced	progressive	verdict
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e02 - the Harvest.mkv	mpeg2video	480	30000/1001	24.13	24.20	135	547	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e03 - Witch.mkv	mpeg2video	480	30000/1001	25.46	23.96	239	525	INTERLACED_NEEDS_IVTC
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e04 - Teachers Pet.mkv	mpeg2video	480	30000/1001	23.93	24.00	0	718	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e05 - Never Kill a Boy on the First Date.mkv	mpeg2video	480	30000/1001	23.96	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e06 - The Pack.mkv	mpeg2video	480	30000/1001	24.00	24.06	36	683	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e07 - Angel.mkv	mpeg2video	480	30000/1001	23.96	24.00	13	673	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e08 - I, Robot... You, Jane.mkv	mpeg2video	480	30000/1001	24.10	23.96	4	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e09 - The Puppet Show.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e10 - Nightmares.mkv	mpeg2video	480	30000/1001	24.23	24.00	74	653	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e11 - Out of Mind, Out of Sight.mkv	mpeg2video	480	30000/1001	24.03	24.00	0	680	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s01e12 - Prophecy Girl.mkv	mpeg2video	480	30000/1001	24.00	24.00	7	692	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e01 - When She Was Bad.mkv	mpeg2video	480	30000/1001	24.30	24.13	58	671	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e02 - Some Assembly Required.mkv	mpeg2video	480	30000/1001	24.36	25.33	330	400	MIXED_CADENCE
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e03 - School Hard.mkv	mpeg2video	480	30000/1001	24.23	26.40	19	708	MIXED_CADENCE
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e05 - Reptile Boy.mkv	mpeg2video	480	30000/1001	24.06	24.56	0	722	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e04 - Inca Mummy Girl.mkv	mpeg2video	480	30000/1001	24.20	24.13	23	703	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e06 - Halloween.mkv	mpeg2video	480	30000/1001	24.10	24.16	163	560	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e07 - Lie to Me.mkv	mpeg2video	480	30000/1001	24.20	24.13	485	239	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e08 - The Dark Age.mkv	mpeg2video	480	30000/1001	24.73	24.36	161	581	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e09 - What's My Line Part 1.mkv	mpeg2video	480	30000/1001	24.03	24.63	194	473	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e10 - What's My Line Part 2.mkv	mpeg2video	480	30000/1001	24.00	24.26	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e11 - Ted.mkv	mpeg2video	480	30000/1001	24.20	24.16	117	609	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e12 - Bad Eggs.mkv	mpeg2video	480	30000/1001	24.30	24.50	63	665	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e13 - Surprise.mkv	mpeg2video	480	30000/1001	24.73	25.33	332	410	MIXED_CADENCE
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e14 - Innocence.mkv	mpeg2video	480	30000/1001	24.53	24.10	439	296	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e16 - Bewitched, Bothered, and Bewildered.mkv	mpeg2video	480	30000/1001	24.10	24.33	82	638	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e15 - Phases.mkv	mpeg2video	480	30000/1001	24.16	24.06	25	700	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e17 - Passion.mkv	mpeg2video	480	30000/1001	24.13	24.16	4	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e18 - Killed by Death.mkv	mpeg2video	480	30000/1001	24.46	24.83	390	344	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e19 - I Only Have Eyes For You.mkv	mpeg2video	480	30000/1001	24.30	24.20	88	632	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e20 - Go Fish.mkv	mpeg2video	480	30000/1001	24.26	24.13	35	693	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e21 - Becoming (Part 1).mkv	mpeg2video	480	30000/1001	24.23	24.23	17	710	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s02e22 - Becoming (Part 2).mkv	mpeg2video	480	30000/1001	24.76	24.23	153	590	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e01 - Anne.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e02 - Dead Mans Party.mkv	mpeg2video	480	30000/1001	24.00	24.06	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e03 - Faith Hope and Trick.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e04 - Beauty and the Beasts.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	703	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e05 - Homecoming.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e06 - Band Candy.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e07 - Revelations.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e08 - Lovers Walk.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e09 - The Wish.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	709	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e10 - Amends.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e11 - Gingerbread.mkv	mpeg2video	480	30000/1001	24.03	24.00	0	721	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e12 - Helpless.mkv	mpeg2video	480	30000/1001	24.00	24.00	76	634	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e13 - The Zeppo.mkv	mpeg2video	480	30000/1001	24.13	24.00	0	724	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e14 - Bad Girls.mkv	mpeg2video	480	30000/1001	24.26	24.10	41	686	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e15 - Consequences.mkv	mpeg2video	480	30000/1001	24.10	24.00	56	661	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e16 - Doppelgangland.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e17 - Enemies.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	695	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e18 - Earshot.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	697	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e19 - Choices.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e20 - The Prom.mkv	mpeg2video	480	30000/1001	24.03	24.06	0	721	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e21 - Graduation Day 1.mkv	mpeg2video	480	30000/1001	24.06	24.00	47	668	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s03e22 - Graduation Day 2.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	690	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e01 - The Freshman.mkv	mpeg2video	480	30000/1001	24.56	24.00	77	649	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e02 - Living Conditions.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	595	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e03 - The Harsh Light of Day.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	719	SOFT_TC_NO_FILTER
/Volumes/nas/media/archive/buffy/Buffy the Vampire Slayer - s04e04 - Fear Itself.mkv	mpeg2video	480	30000/1001	24.00	24.00	0	720	SOFT_TC_NO_FILTER
